arm,task,rep,in_tok,out_tok,cost_usd,dur_ms,tests_pass,judge
arcs-default,00-stub,1,410384,1051,0.31354920000000003,37985,1,4
arcs-default,00-stub,2,409965,1087,0.3132452999999999,36120,1,4
arcs-default,00-stub,3,255705,718,0.2444013,27278,1,5
arcs-default,01-slugify,1,256826,855,0.24885029999999994,27482,1,5
arcs-default,01-slugify,2,257105,879,0.2495049,27364,1,5
arcs-default,01-slugify,3,413207,1364,0.32124569999999997,38002,1,5
arcs-default,02-balanced,1,256707,884,0.24887909999999996,25936,1,5
arcs-default,02-balanced,2,256082,774,0.2457078,27983,1,5
arcs-default,02-balanced,3,256738,886,0.2490723,26840,1,5
arcs-default,03-csv-stats,1,256756,879,0.24860220000000002,27425,1,5
arcs-default,03-csv-stats,2,256734,863,0.248196,25893,1,5
arcs-default,03-csv-stats,3,411572,1325,0.32022719999999993,36571,1,5
bare,00-stub,1,121767,340,0.1935657,15433,1,5
bare,00-stub,2,121662,350,0.1935132,13440,1,5
bare,00-stub,3,121764,341,0.1935855,16185,1,5
bare,01-slugify,1,78267,225,0.1531836,9747,1,5
bare,01-slugify,2,78192,230,0.1530366,9737,1,5
bare,01-slugify,3,78272,233,0.1533336,10163,1,5
bare,02-balanced,1,122395,554,0.1990959,15325,1,5
bare,02-balanced,2,122337,556,0.1989831,16768,1,5
bare,02-balanced,3,78213,259,0.1536546,10652,1,5
bare,03-csv-stats,1,122345,486,0.19733699999999998,18531,1,5
bare,03-csv-stats,2,78275,319,0.15495509999999998,11995,1,5
bare,03-csv-stats,3,122369,492,0.19747979999999998,17979,1,5
